,Prime Number Range,Key Generation Time,Encryption Time,Decryption Time,CRT Decryption Time
0,4-5,0.00015959739685058593,5.769729614257812e-06,4.100799560546875e-06,3.62396240234375e-06
1,5-6,0.0003735065460205078,4.720687866210938e-06,3.957748413085938e-06,3.62396240234375e-06
2,6-7,0.0008362770080566406,5.102157592773437e-06,4.76837158203125e-06,4.38690185546875e-06
3,7-8,0.003174591064453125,6.151199340820313e-06,5.4836273193359375e-06,4.863739013671875e-06
